absolute_rank,transformed_feature,feature,coefficient,absolute_coefficient,odds_ratio,direction
206,numeric__REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_LIVE_REGION,-0.03906826072903618,0.03906826072903618,0.9616850615824101,Lower risk
207,categorical__NAME_INCOME_TYPE_Maternity leave,NAME_INCOME_TYPE_Maternity leave,-0.039008271130723124,0.039008271130723124,0.9617427544134257,Lower risk
208,numeric__DEF_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,0.03887249358404663,0.03887249358404663,1.0396379146942494,Higher risk
209,categorical__ORGANIZATION_TYPE_Insurance,ORGANIZATION_TYPE_Insurance,0.03831939618733103,0.03831939618733103,1.0390630526621067,Higher risk
210,numeric__credit_card_late_rate,credit_card_late_rate,0.037349268351627295,0.037349268351627295,1.0380555174696557,Higher risk
211,numeric__credit_card_max_credit_limit,credit_card_max_credit_limit,0.037005425132147274,0.037005425132147274,1.0376986504751942,Higher risk
212,numeric__FLAG_DOCUMENT_18,FLAG_DOCUMENT_18,-0.03690465306071759,0.03690465306071759,0.9637680232995662,Lower risk
213,numeric__ENTRANCES_MODE,ENTRANCES_MODE,-0.03657000979418404,0.03657000979418404,0.9640905957494027,Lower risk
214,numeric__LANDAREA_MEDI,LANDAREA_MEDI,-0.0358744792211389,0.0358744792211389,0.9647613834835784,Lower risk
215,numeric__FLAG_DOCUMENT_10,FLAG_DOCUMENT_10,-0.03549672237227441,0.03549672237227441,0.9651258975482169,Lower risk
216,numeric__bureau_mean_credit_sum,bureau_mean_credit_sum,-0.03534656110278231,0.03534656110278231,0.9652708329597828,Lower risk
